Татарчага	татарча+N+Sg+DIR(ГА);
Грейнджер	грейнджер+N+Sg+Nom;
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
аңа	ул+PN+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);
йөрәге	йөрәк+N+Sg+POSS_3(СЫ)+Nom;
тизрәк	тиз+Adj+COMP(рАк)+Sg+Nom;
тибә	тип+V+PRES(Й);
башлый	башла+V+PRES(Й);
(	Type3
ләкин	ләкин+CNJ;
ул	ул+N+Sg+Nom;ул+PN;
моны	бу+PN+ACC(нЫ);
күрсәтми	күрсәт+V+NEG(мА)+PRES(Й);
)	Type3
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Рон	Rus
.	Type1
Нишләп	нишлә+V+ADVV_ACC(Ып);нишләп+PN;
йөрисең	йөр+V+PRES(Й)+2SG(сЫң);
монда	бу+PN+LOC(ДА);монда+Adv;
?	Type1
РОН	Rus
:	Type2
Панджу	Rus
Төнәтмәләр	төнәтмә+N+PL(ЛАр)+Nom;
дәресендә	дәрес+N+Sg+POSS_3(СЫ)+LOC(ДА);
бераз	бераз+Adv;
артыгын	артык+Adj+Sg+POSS_3(СЫ)+ACC(нЫ);
кыланып	кылан+V+ADVV_ACC(Ып);
ташлаган	ташла+V+PCP_PS(ГАн);ташла+V+PST_INDF(ГАн);
.	Type1
Кылтайган	кылтай+V+PCP_PS(ГАн);кылтай+V+PST_INDF(ГАн);
,	Type2
билгеле	билге+N+ATTR_MUN(лЫ);билгеле+Adj;
,	Type2
һәм	һәм+CNJ;
кирәкмәгән	кирәк+V+NEG(мА)+PCP_PS(ГАн);кирәк+V+NEG(мА)+PST_INDF(ГАн);
дарулар	дару+N+PL(ЛАр)+Nom;дарула+V+FUT_INDF(Ыр);дарула+V+PCP_FUT(Ыр);
салгалаган	сал+V+RAR_1(ГАлА)+PCP_PS(ГАн);сал+V+RAR_1(ГАлА)+PST_INDF(ГАн);
,	Type2
шуңа	шул+PN+DIR(ГА);
хәзер	хәзер+Adv;
кашлары	каш+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
юк	юк+MOD;
,	Type2
ләкин	ләкин+CNJ;
зур	зур+Adj;
мыек	мыек+N+Sg+Nom;
үсеп	үс+V+ADVV_ACC(Ып);
чыккан	чык+V+PCP_PS(ГАн);чык+V+PST_INDF(ГАн);
.	Type1
Аңа	ул+PN+DIR(ГА);
бер	бер+Num;бер+PN;
дә	дә+PART;
килешми	кил+V+RECP(Ыш)+NEG(мА)+PRES(Й);килеш+V+NEG(мА)+PRES(Й);
.	Type1
Мин	мин+PN;
килергә	кил+V+INF_1(ЫргА);
җыенмаган	җыен+V+NEG(мА)+PCP_PS(ГАн);җыен+V+NEG(мА)+PST_INDF(ГАн);җый+V+REFL(Ын)+NEG(мА)+PCP_PS(ГАн);җый+V+REFL(Ын)+NEG(мА)+PST_INDF(ГАн);
идем	и+V+PST_DEF(ДЫ)+1SG(м);
,	Type2
әмма	әмма+CNJ;
Падма	падма+N+Sg+Nom;
мондый	бу+PN+SIM_1(ДАй);мондый+Adj;
чакларда	чак+N+PL(ЛАр)+LOC(ДА);
малайларга	малай+N+PL(ЛАр)+DIR(ГА);
әтиләре	әти+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
кирәк	кирәк+MOD;
,	Type2
диде	ди+V+PST_DEF(ДЫ);
.	Type1
Син	син+PN;
чәчеңне	чәч+N+Sg+POSS_2SG(Ың)+ACC(нЫ);
нишләттең	нишлә+V+CAUS(т)+PST_DEF(ДЫ)+2SG(ң);нишләт+V+PST_DEF(ДЫ)+2SG(ң);
ул	ул+N+Sg+Nom;ул+PN;
?	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Тарадым	тара+V+PST_DEF(ДЫ)+1SG(м);
гына	гына+PART;
бугай	бугай+PART;
.	Type1
РОН	Rus
:	Type2
Хуш…	Error
Чәч	чәч+N+Sg+Nom;чәч+V+IMP_SG();
тарау	тара+V+VN_1(у/ү/в)+Nom;
сиңа	син+PN+DIR(ГА);
килешә	кил+V+RECP(Ыш)+PRES(Й);килеш+V+PRES(Й);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
РОНга	рон+N+Sg+DIR(ГА);
сәерсенебрәк	сәерсен+V+ADVV_ACC(Ып)+COMP(рАк)+Sg+Nom;
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Рон	Rus
,	Type2
миңа	мин+PN+DIR(ГА);
алай	алай+PN;
карама	кара+Adj+Sg+POSS_1SG(Ым)+DIR(ГА);кара+N+Sg+POSS_1SG(Ым)+DIR(ГА);кара+V+NEG(мА)+IMP_SG();карама+N+Sg+Nom;
әле	әле+CNJ;әле+PART;
.	Type1
РОН	Rus
(	Type3
ышаныч	ышаныч+N+Sg+Nom;
белән	белән+POST;
)	Type3
:	Type2
Беләсеңме	бел+V+PRES(Й)+2SG(сЫң)+INT(мЫ);
,	Type2
һарриның	һаррин+N+Sg+POSS_2SG(Ың)+Nom;һарри+N+Sg+GEN(нЫң);
улы	ул+N+Sg+POSS_3(СЫ)+Nom;
Альбус	альбус+N+Sg+Nom;
бервакыт	бервакыт+Adv;
шулай	шулай+PN;
мине	ми+N+Sg+ACC(нЫ);мин+PN+ACC(нЫ);мин+PN+POSS_3(СЫ)+Nom;
һәм	һәм+CNJ;
сине	син+PN+ACC(нЫ);
өйләнгән	өйлән+V+PCP_PS(ГАн);өйлән+V+PST_INDF(ГАн);
дип	ди+V+ADVV_ACC(Ып);
күрүе	күр+V+VN_1(у/ү/в)+POSS_3(СЫ)+Nom;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
сөйләде	сөйлә+V+PST_DEF(ДЫ);
.	Type1
һа-һа	һа-һа+N+Sg+Nom;
.	Type1
һа	һа+INTRJ;
.	Type1
һа	һа+INTRJ;
.	Type1
Бик	бик+Adv;
мәзәк	мәзәк+N+Sg+Nom;
,	Type2
мин	мин+PN;
уйлыйм	уйла+V+HOR_SG(Йм);уйла+V+PRES(Й)+1SG(м);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Бу	бу+PN;
әкәмәт	әкәмәт+N+Sg+Nom;
.	Type1
96	Num
РОН	Rus
:	Type2
Ул	ул+N+Sg+Nom;ул+PN;
хәтта	хәтта+PART;
безнең	без+N+Sg+GEN(нЫң);без+PN+GEN(нЫң);
кызыбыз	кыз+N+Sg+POSS_1PL(ЫбЫз)+Nom;кыз+N+Sg+POSS_3(СЫ)+Nom+1PL(бЫз);
да	да+PART;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
дип	ди+V+ADVV_ACC(Ып);
уйлаган	уйла+V+PCP_PS(ГАн);уйла+V+PST_INDF(ГАн);
.	Type1
Бу	бу+PN;
бик	бик+Adv;
сәер	сәер+Adj;
,	Type2
шулай	шулай+PN;
түгелме	түгел+PART+INT(мЫ);
?	Type1
Ике	ике+Num;
караш	кара+V+RECP(Ыш)+IMP_SG();кара+V+VN_2(Ыш)+Nom;караш+N+Sg+Nom;
очраша	очра+V+RECP(Ыш)+PRES(Й);
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
беренче	бер+Num+NUM_ORD(ЫнчЫ);
булып	бул+V+ADVV_ACC(Ып);
карашын	кара+V+RECP(Ыш)+REFL(Ын)+IMP_SG();караш+N+Sg+POSS_3(СЫ)+ACC(нЫ);
читкә	чит+Adj+Sg+DIR(ГА);чит+N+Sg+DIR(ГА);
ала	ал+V+PRES(Й);ала+Adj;
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Сәер	сәер+Adj;
генәме	генә+PART+INT(мЫ);
соң	соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;
.	Type1
РОН	Rus
:	Type2
Нәкъ	нәкъ+PART;
шулай	шулай+PN;
.	Type1
Без	без+N+Sg+Nom;без+PN;
дуслар	дус+N+PL(ЛАр)+Nom;
,	Type2
һәм	һәм+CNJ;
шуның	шул+PN+GEN(нЫң);шул+PN+POSS_2SG(Ың)+Nom;
белән	белән+POST;
бетте-китте	бетте-китт+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Дөрес	дөрес+Adj;дөрес+Adv;
.	Type1
Бары	бар+N+Sg+POSS_3(СЫ)+Nom;бар+PN+POSS_3(СЫ)+Nom;бары+CNJ;бары+PN;
дуслар	дус+N+PL(ЛАр)+Nom;
гына	гына+PART;
.	Type1
РОН	Rus
:	Type2
Дуслар	дус+N+PL(ЛАр)+Nom;
гына	гына+PART;
.	Type1
Мәзәк	мәзәк+N+Sg+Nom;
сүз	сүз+N+Sg+Nom;
–	Type2
дуслар	дус+N+PL(ЛАр)+Nom;
.	Type1
Мәзәк	мәзәк+N+Sg+Nom;
түгел	түгел+PART;
инде	инде+PART;
.	Type1
Сүз	сүз+N+Sg+Nom;
генә	генә+PART;
инде	инде+PART;
шунда	шул+PN+LOC(ДА);
.	Type1
Дуслар	дус+N+PL(ЛАр)+Nom;
.	Type1
Дус	дус+N+Sg+Nom;
.	Type1
Мәзәк	мәзәк+N+Sg+Nom;
дус	дус+N+Sg+Nom;
.	Type1
Син	син+PN;
минем	мин+PN+GEN(нЫң);
мәзәк	мәзәк+N+Sg+Nom;
дустым	дуст+N+Sg+POSS_1SG(Ым)+Nom;
,	Type2
һермионам	һермионам+N+Sg+Nom;
.	Type1
Юк	юк+MOD;
,	Type2
минем	мин+PN+GEN(нЫң);
һермиона	һермиона+N+Sg+Nom;
түгел	түгел+PART;
,	Type2
аңлыйсыңдыр	аңла+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+3SG(ДЫр);аңла+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+PROB(ДЫр);аңла+V+PRES(Й)+2SG(сЫң)+PROB(ДЫр);
,	Type2
минеке	ми+N+Sg+ATTR_GEN(нЫкЫ);мин+PN++ATTR_GEN(нЫкЫ);
түгел	түгел+PART;
,	Type2
минеке	ми+N+Sg+ATTR_GEN(нЫкЫ);мин+PN++ATTR_GEN(нЫкЫ);
түгел	түгел+PART;
,	Type2
беләсең	бел+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;бел+V+PRES(Й)+2SG(сЫң);
,	Type2
ләкин…	Error
һЕРМИОНА	һермиона+N+Sg+Nom;
:	Type2
Беләм	бел+V+PRES(Й)+1SG(м);
.	Type1
Тынлык	тын+N+NMLZ(лЫк)+Nom;
.	Type1
Берсе	бер+PN+POSS_3(СЫ)+Nom;
дә	дә+PART;
нәни	нәни+Adj;
генә	генә+PART;
хәрәкәт	хәрәкәт+N+Sg+Nom;
тә	тә+PART;
ясамый	яса+V+NEG(мА)+PRES(Й);
.	Type1
Бу	бу+PN;
мизгел	мизгел+N+Sg+Nom;
бик	бик+Adv;
әһәмиятле	әһәмият+N+ATTR_MUN(лЫ)+Sg;
булып	бул+V+ADVV_ACC(Ып);
тоела	тоел+V+PRES(Й);той+V+PASS(Ыл)+PRES(Й);
.	Type1
Аннан	аннан+PN;ул+PN+ABL(ДАн);
РОН	Rus
тамак	тамак+N+Sg+Nom;
кыра	кыр+V+PRES(Й);
.	Type1
РОН	Rus
:	Type2
Хуш	хуш+Adj;хуш+INTRJ;
.	Type1
Китәргә	кит+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
Панджуны	Rus
коткарырга	коткар+V+INF_1(ЫргА);
.	Type1
Мыек	мыек+N+Sg+Nom;
йөртергә	йөр+V+CAUS(т)+INF_1(ЫргА);йөрт+V+INF_1(ЫргА);
өйрәтергә	өйрәт+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
китәр	ки+V+CAUS(т)+PCP_FUT(Ыр);кит+V+PCP_FUT(Ыр);китәр+V+IMP_SG();
өчен	өчен+POST;
кузгала	кузгал+V+PRES(Й);
,	Type2
борыла	бор+V+PASS(Ыл)+PRES(Й);борыл+V+PRES(Й);
һәм	һәм+CNJ;
һЕРМИОНАга	һермиона+N+Sg+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
да	да+PART;
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
,	Type2
Рон	Rus
янә	янә+Adv;
ашыгып	ашык+V+ADVV_ACC(Ып);
кузгалып	кузгал+V+ADVV_ACC(Ып);
китә	ки+V+CAUS(т)+PRES(Й);кит+V+PRES(Й);
.	Type1
Синең	син+PN+GEN(нЫң);
чәчләрең	чәч+N+PL(ЛАр)+POSS_2SG(Ың)+Nom;
сиңа	син+PN+DIR(ГА);
бик	бик+Adv;
тә	тә+PART;
килешә	кил+V+RECP(Ыш)+PRES(Й);килеш+V+PRES(Й);
.	Type1
ИКЕНЧЕ	ике+Num+NUM_ORD(ЫнчЫ);
ПәРДә	пәрдә+N+Sg+Nom;
,	Type2
УНСИГЕЗЕНЧЕ	унсигез+Num+NUM_ORD(ЫнчЫ);
КүРЕНЕШ	күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;
һОГВАРТС	һогвартс+N+Sg+Nom;
,	Type2
ДИРЕКТОР	директор+N+Sg+Nom;
БүЛМәСЕ	бүлмә+N+Sg+POSS_3(СЫ)+Nom;
ПРОФЕССОР	профессор+N+Sg+Nom;
МАКГОНАГАЛЛ	макгонагалл+N+Sg+Nom;
үз	үз+PN;
бүлмәсендә	бүлмә+N+Sg+POSS_3(СЫ)+LOC(ДА);
басып	бас+V+ADVV_ACC(Ып);
тора	тор+V+PRES(Й);
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
картага	карта+N+Sg+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
Кашын	каш+N+Sg+POSS_3(СЫ)+ACC(нЫ);кашы+V+REFL(Ын)+IMP_SG();кашын+V+IMP_SG();
җыера	җыера+N+Sg+Nom;
.	Type1
Картага	карта+N+Sg+DIR(ГА);
таягы	таяк+N+Sg+POSS_3(СЫ)+Nom;
белән	белән+POST;
төртә	төр+V+CAUS(т)+PRES(Й);төрт+V+PRES(Й);
.	Type1
Аннан	аннан+PN;ул+PN+ABL(ДАн);
яхшы	яхшы+Adj;яхшы+Adv;
карар	кара+V+FUT_INDF(Ыр);кара+V+PCP_FUT(Ыр);карар+N+Sg+Nom;
табуы	табу+N+Sg+POSS_3(СЫ)+Nom;тап+V+VN_1(у/ү/в)+POSS_3(СЫ)+Nom;
өчен	өчен+POST;
үзенә	үз+PN+POSS_3(СЫ)+DIR(ГА);
үзе	үзе+PN;
елмая	елмай+V+PRES(Й);
.	Type1
ПРОФЕССОР	профессор+N+Sg+Nom;
МАКГОНАГАЛЛ	макгонагалл+N+Sg+Nom;
:	Type2
Шаярту	шаяр+V+CAUS(т)+VN_1(у/ү/в)+Nom;
барып	бар+V+ADVV_ACC(Ып);
чыкты	чык+V+PST_DEF(ДЫ);
.	Type1
Дөбердәгән	дөбердә+V+PCP_PS(ГАн);дөбердә+V+PST_INDF(ГАн);
тавыш	тавыш+N+Sg+Nom;
.	Type1
Бөтен	бөтен+PN;
сәхнә	сәхнә+N+Sg+Nom;
вибрация	вибрация+N+Sg+Nom;
бирә	бир+V+PRES(Й);
башлый	башла+V+PRES(Й);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
беренче	бер+Num+NUM_ORD(ЫнчЫ);
булып	бул+V+ADVV_ACC(Ып);
каминнан	камин+N+Sg+ABL(ДАн);
килеп	кил+V+ADVV_ACC(Ып);
чыга	чык+V+PRES(Й);
,	Type2
аннары	аннары+PN;
һАРРИ	һарри+N+Sg+Nom;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Профессор	профессор+N+Sg+Nom;
,	Type2
бу	бу+PN;
әйтеп	әйт+V+ADVV_ACC(Ып);
бетерә	бетер+V+PRES(Й);
алмаслык	ал+V+PCP_FUT(мАс)+NMLZ(лЫк)+Sg+Nom;ал+V+PCP_FUT(мАс)+PSBL(лЫк);
коточкычка	коточкыч+Adj+Sg+DIR(ГА);
әйләнде	әйлән+V+PST_DEF(ДЫ);
97	Num
ПРОФЕССОР	профессор+N+Sg+Nom;
МАКГОНАГАЛЛ	макгонагалл+N+Sg+Nom;
:	Type2
Поттер	Rus
.	Type1
әйләнеп	әйлән+V+ADVV_ACC(Ып);
кайттыгыз	кайт+V+PST_DEF(ДЫ)+2PL(гЫз);
.	Type1
һәм	һәм+CNJ;
минем	мин+PN+GEN(нЫң);
паласны	палас+N+Sg+ACC(нЫ);
тәмам	тәмам+MOD;
юк	юк+MOD;
итәргә	и+V+CAUS(т)+INF_1(ЫргА);ит+V+INF_1(ЫргА);
булгансыз	бул+V+PCP_PS(ГАн)+2PL(сЫз);бул+V+PST_INDF(ГАн)+2PL(сЫз);
ахры	ахры+PART;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Миңа	мин+PN+DIR(ГА);
улымны	ул+N+Sg+POSS_1SG(Ым)+ACC(нЫ);ул+PN+POSS_1SG(Ым)+ACC(нЫ);
табарга	тап+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
.	Type1
Безгә	без+PN+DIR(ГА);
кирәк	кирәк+MOD;
ул	ул+N+Sg+Nom;ул+PN;
.	Type1
ПРОФЕССОР	профессор+N+Sg+Nom;
МАКГОНАГАЛЛ	макгонагалл+N+Sg+Nom;
:	Type2
һарри	һарри+N+Sg+Nom;
,	Type2
мин	мин+PN;
бу	бу+PN;
турыда	туры+Adj+Sg+LOC(ДА);турыда+POST;
уйландым	уйла+V+REFL(Ын)+PST_DEF(ДЫ)+1SG(м);уйлан+V+PST_DEF(ДЫ)+1SG(м);
да	да+PART;
бу	бу+PN;
эштә	эш+N+Sg+LOC(ДА);
катнашмаска	катна+V+RECP(Ыш)+NEG(мА)+INF_1(скА);катна+V+RECP(Ыш)+PCP_FUT(мАс)+DIR(ГА);катнаш+V+NEG(мА)+INF_1(скА);катнаш+V+PCP_FUT(мАс)+DIR(ГА);
булдым	бул+V+PST_DEF(ДЫ)+1SG(м);
.	Type1
Нәрсә	нәрсә+PN;
дип	ди+V+ADVV_ACC(Ып);
янасагыз	яна+V+COND(сА)+2PL(гЫз);
да…	Error
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Минерва	минерва+N+Sg+Nom;
,	Type2
мин	мин+PN;
монда	бу+PN+LOC(ДА);монда+Adv;
дуслык	дус+N+NMLZ(лЫк)+Sg+Nom;дус+N+PSBL(лЫк);
белән	белән+POST;
,	Type2
сугыш	сугыш+N+Sg+Nom;сук+V+RECP(Ыш)+IMP_SG();сук+V+VN_2(Ыш)+Nom;
белән	белән+POST;
түгел	түгел+PART;
.	Type1
Мин	мин+PN;
беркайчан	беркайчан+Adv;
да	да+PART;
сезнең	сез+PN+GEN(нЫң);
белән	белән+POST;
бу	бу+PN;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
сөйләшмәдем	сөйлә+V+RECP(Ыш)+NEG(мА)+PST_DEF(ДЫ)+1SG(м);
.	Type1
ПРОФЕССОР	профессор+N+Sg+Nom;
МАКГОНАГАЛЛ	макгонагалл+N+Sg+Nom;
:	Type2
Мин	мин+PN;
дуслар	дус+N+PL(ЛАр)+Nom;
арасына	ара+N+Sg+POSS_3(СЫ)+DIR(ГА);арасына+POST;
кысыла	кыс+V+PASS(Ыл)+PRES(Й);кысыл+V+PRES(Й);
алам	ал+V+PRES(Й)+1SG(м);
дип	ди+V+ADVV_ACC(Ып);
уйламыйм	уйла+V+NEG(мА)+HOR_SG(Йм);уйла+V+NEG(мА)+PRES(Й)+1SG(м);
,	Type2
һәм	һәм+CNJ;
ышанам	ышан+V+PRES(Й)+1SG(м);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Миңа	мин+PN+DIR(ГА);
сездән	сез+PN+ABL(ДАн);
һәм	һәм+CNJ;
Альбустан	альбус+N+Sg+ABL(ДАн);
гафу	гафу+INTRJ;
үтенергә	үт+V+REFL(Ын)+INF_1(ЫргА);үтен+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
,	Type2
сез	сез+PN;
миңа	мин+PN+DIR(ГА);
мөмкинлек	мөмкинлек+N+Sg+Nom;
бирерсезме	бир+V+FUT_INDF(Ыр)+2PL(сЫз)+INT(мЫ);бир+V+PCP_FUT(Ыр)+2PL(сЫз)+INT(мЫ);
?	Type1
ДРАКО	драко+N+Sg+Nom;
аның	ул+PN+GEN(нЫң);
артында	арт+Adj+Sg+POSS_3(СЫ)+LOC(ДА);артында+POST;
корымга	корым+N+Sg+DIR(ГА);
батып	бат+V+ADVV_ACC(Ып);
пәйда	пәй+N+Sg+Nom+PART(ДА);пәй+N+Sg+LOC(ДА);
була	бул+V+PRES(Й);
.	Type1
ПРОФЕСССОР	професссор+N+Sg+Nom;
МАКГОНАГАЛЛ	макгонагалл+N+Sg+Nom;
:	Type2
Драко	драко+N+Sg+Nom;
?	Type1
ДРАКО	драко+N+Sg+Nom;
:	Type2
Аңа	ул+PN+DIR(ГА);
үз	үз+PN;
улы	ул+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
ә	ә+PART;
миңа	мин+PN+DIR(ГА);
үземнеке	үз+PN+POSS_1SG(Ым)+ATTR_GEN(нЫкЫ);
кирәк	кирәк+MOD;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Мин	мин+PN;
әйткәнчә	әйт+V+PCP_PS(ГАн)+EQU(чА);
Error	тынычлык;
тыныч+Adj+NMLZ(лЫк)+Sg+Nom;тыныч+Adj+PSBL(лЫк);	,;
Type2	сугыш;
сугыш+N+Sg+Nom;сук+V+RECP(Ыш)+IMP_SG();сук+V+VN_2(Ыш)+Nom;	түгел;
түгел+PART;	.;
Type1	ПРОФЕССОР;
профессор+N+Sg+Nom;	МАКГОНАГАЛЛ;
NR	аның;
ул+PN+GEN(нЫң);	йөзен;
йөз+N+Sg+POSS_3(СЫ)+ACC(нЫ);йөз+Num+POSS_3(СЫ)+ACC(нЫ);йөз+V+REFL(Ын)+IMP_SG();	өйрәнә;
өйрән+V+PRES(Й);	Error
Type2	күрергә;
күр+V+INF_1(ЫргА);	теләгән;
телә+V+PCP_PS(ГАн);телә+V+PST_INDF(ГАн);	ихласлыкны;
ихлас+Adj+NMLZ(лЫк)+Sg+ACC(нЫ);ихлас+Adj+PSBL(лЫк)+ACC(нЫ);	күрә;
күр+V+PRES(Й);күрә+POST;	.;
Type1	Картаны;
карта+N+Sg+ACC(нЫ);	кесәсеннән;
кесә+N+Sg+POSS_3(СЫ)+ABL(ДАн);	тартып;
тарт+V+ADVV_ACC(Ып);	чыгара;
чыгар+V+PRES(Й);	.;
Type1	Ачып;
ач+V+ADVV_ACC(Ып);	җибәрә;
җибәр+V+PRES(Й);	.;
Type1	ПРОФЕССОР;
профессор+N+Sg+Nom;	МАКГОНАГАЛЛ;
NR	:;
Type2	Хуш;
хуш+Adj;хуш+INTRJ;	,;
Type2	дуслык;
дус+N+NMLZ(лЫк)+Sg+Nom;дус+N+PSBL(лЫк);	эшендә;
эш+N+Sg+POSS_3(СЫ)+LOC(ДА);	минем;
мин+PN+GEN(нЫң);	дә;
дә+PART;	катнашасы;
катна+V+RECP(Ыш)+OBL(ЙсЫ);катнаш+V+OBL(ЙсЫ);	килә;
кил+V+PRES(Й);	.;
Type1	Ул;
ул+N+Sg+Nom;ул+PN;	картага;
карта+N+Sg+DIR(ГА);	таягы;
таяк+N+Sg+POSS_3(СЫ)+Nom;	белән;
белән+POST;	төртә;
төр+V+CAUS(т)+PRES(Й);төрт+V+PRES(Й);	.;
Type1	(;
Type3	Сулап;
су+N+DISTR(лАп);сула+V+ADVV_ACC(Ып);	куя;
куй+V+PRES(Й);	);
Type3	.;
Type1	Тантана;
тантана+N+Sg+Nom;	белән;
белән+POST;	ант;
ант+N+Sg+Nom;	бирәм;
бир+V+PRES(Й)+1SG(м);	,;
Type2	бары;
бар+N+Sg+POSS_3(СЫ)+Nom;бар+PN+POSS_3(СЫ)+Nom;бары+CNJ;бары+PN;	шаярту;
шаяр+V+CAUS(т)+VN_1(у/ү/в)+Nom;	һәм;
һәм+CNJ;	тәртип;
тәртип+N+Sg+Nom;	бозу;
боз+V+VN_1(у/ү/в)+Nom;	гына;
гына+PART;	.;
Type1	Карта;
карта+N+Sg+Nom;	җәелеп;
җәел+V+ADVV_ACC(Ып);җәй+V+PASS(Ыл)+ADVV_ACC(Ып);	,;
Type2	эшли;
эшлә+V+PRES(Й);	башлый;
башла+V+PRES(Й);	.;
Type1	Хуш;
хуш+Adj;хуш+INTRJ;	,;
Type2	алар;
алар+PN;	бергә;
бер+Num+DIR(ГА);бер+PN+DIR(ГА);бергә+Adv;	.;
ДРАКО	драко+N+Sg+Nom;
:	Type2
Беренче	бер+Num+NUM_ORD(ЫнчЫ);
каттагы	кат+N+Sg+ATTR_LOC(ДАгЫ);
кызлар	кыз+N+PL(ЛАр)+Nom;
бәдрәфендә	бәдрәф+N+Sg+POSS_3(СЫ)+LOC(ДА);
.	Type1
Тагын	тагын+Adv;
нәрсә	нәрсә+PN;
эшлиләр	эшлә+V+PRES(Й)+3PL(ЛАр);
инде	инде+PART;
алар	алар+PN;
анда	анда+PN;ул+PN+LOC(ДА);
?	Type1
ИКЕНЧЕ	ике+Num+NUM_ORD(ЫнчЫ);
ПәРДә	пәрдә+N+Sg+Nom;
,	Type2
УНТУГЫЗЫНЧЫ	унтугыз+Num+NUM_ORD(ЫнчЫ);
КүРЕНЕШ	күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;
һОГВАРТС	һогвартс+N+Sg+Nom;
,	Type2
КЫЗЛАР	кыз+N+PL(ЛАр)+Nom;
БәДРәФЕ	бәдрәф+N+Sg+POSS_3(СЫ)+Nom;
98	Num
СКОРПИУС	скорпиус+N+Sg+Nom;
белән	белән+POST;
АЛЬБУС	альбус+N+Sg+Nom;
бәдрәфкә	бәдрәф+N+Sg+DIR(ГА);
керә	кер+V+PRES(Й);
.	Type1
Уртада	урта+N+Sg+LOC(ДА);
Виктория	виктория+N+Sg+Nom;
чорына	чор+N+Sg+POSS_3(СЫ)+DIR(ГА);
караган	кара+V+PCP_PS(ГАн);кара+V+PST_INDF(ГАн);
зур	зур+Adj;
улак	улак+N+Sg+Nom;
(	Type3
су	су+N+Sg+Nom;
агып	ак+V+ADVV_ACC(Ып);
китү	ки+V+CAUS(т)+VN_1(у/ү/в)+Nom;кит+V+VN_1(у/ү/в)+Nom;
өчен	өчен+POST;
куелган	куел+V+PCP_PS(ГАн);куел+V+PST_INDF(ГАн);куй+V+PASS(Ыл)+PCP_PS(ГАн);куй+V+PASS(Ыл)+PST_INDF(ГАн);
җиһаз	җиһаз+N+Sg+Nom;
)	Type3
тора	тор+V+PRES(Й);
.	Type1
СКОРПИУС	скорпиус+N+Sg+Nom;
:	Type2
Тукта	тук+Adj+Sg+LOC(ДА);тукта+V+IMP_SG();
,	Type2
дөрес	дөрес+Adj;дөрес+Adv;
аңладыммы	аңла+V+PST_DEF(ДЫ)+1SG(м)+INT(мЫ);
мин	мин+PN;
